Region,Suburb,Population,Area,PopulationDensity
Melton - Bacchus Marsh,Melton South,28613,111,257.9
Yarra Ranges,Wandin - Seville,8056,111.8,72.1
Wyndham,Werribee - South,13113,114,115
Mornington Peninsula,Somerville,19271,117.4,164.2
Warrnambool,Warrnambool - South,13239,120.2,110.1
Melton - Bacchus Marsh,Rockbank - Mount Cottrell,6455,125.8,51.3
Surf Coast - Bellarine Peninsula,Torquay,20668,126.3,163.6
Murray River - Swan Hill,Swan Hill,11103,126.6,87.7
Wyndham,Werribee - West,14315,127.7,112.1
Wyndham,Wyndham Vale,27218,128.2,212.2
Sunbury,Sunbury,13397,129.5,103.4
Melton - Bacchus Marsh,Melton,20188,130.7,154.5
Sunbury,Sunbury - South,29374,131.1,224
Moira,Cobram,6422,131.5,48.8
Shepparton,Shepparton - South,24163,143.3,168.6
Murray River - Swan Hill,Kerang,3885,146.6,26.5
Latrobe Valley,Traralgon,27958,149.7,186.8
Wodonga - Alpine,West Wodonga,15323,153.9,99.6
Gippsland - East,Bairnsdale,15411,155,99.4
Surf Coast - Bellarine Peninsula,Ocean Grove - Barwon Heads,26648,157,169.8
Grampians,Ararat,8413,161.2,52.2
Murray River - Swan Hill,Robinvale,3373,181.7,18.6
Campaspe,Echuca,14934,183.8,81.2
Barwon - West,Bannockburn,7117,192.1,37.1
Melton - Bacchus Marsh,Bacchus Marsh,22223,196.3,113.2
Glenelg - Southern Grampians,Hamilton (Vic.),10120,198.3,51
Macedon Ranges,Gisborne,13963,211.1,66.2
Heathcote - Castlemaine - Kyneton,Woodend,7349,211.9,34.7
Gippsland - East,Lakes Entrance,10304,214,48.1
Mildura,Red Cliffs,6008,246.7,24.4
Wodonga - Alpine,Wodonga,26106,278.8,93.6
Mornington Peninsula,Flinders,5653,287.4,19.7
Nillumbik - Kinglake,Panton Hill - St Andrews,5496,292.2,18.8
Whittlesea - Wallan,Whittlesea,8769,298,29.4
Wangaratta - Benalla,Benalla,10436,315.3,33.1
Nillumbik - Kinglake,Kinglake,4122,319.5,12.9
Baw Baw,Drouin,17779,326.8,54.4
Latrobe Valley,Yallourn North - Glengarry,4645,342.7,13.6
Campaspe,Rochester,3906,351.6,11.1
Baw Baw,Warragul,20149,352.2,57.2
Yarra Ranges,Healesville - Yarra Glen,14512,369.5,39.3
Wodonga - Alpine,Beechworth,4785,371.3,12.9
Cardinia,Emerald - Cockatoo,18777,371.6,50.5
Cardinia,Bunyip - Garfield,9155,373.1,24.5
Cardinia,Koo Wee Rup,8153,409.4,19.9
Gippsland - East,Paynesville,6662,417.9,15.9
Surf Coast - Bellarine Peninsula,Lorne - Anglesea,5407,448,12.1
Upper Goulburn Valley,Kilmore - Broadford,14921,461.5,32.3
Wangaratta - Benalla,Rutherglen,4000,479.3,8.3
Baw Baw,Trafalgar (Vic.),8036,501.5,16
Whittlesea - Wallan,Wallan,18446,507.7,36.3
Wodonga - Alpine,Chiltern - Indigo Valley,3126,513.2,6.1
Wodonga - Alpine,Myrtleford,4724,553.4,8.5
Heathcote - Castlemaine - Kyneton,Kyneton,10082,556.5,18.1
Geelong,Lara,19978,588.6,33.9
Gippsland - South West,Korumburra,9444,600.7,15.7
Macedon Ranges,Romsey,10043,624.7,16.1
Wodonga - Alpine,Yackandandah,4627,708.2,6.5
Gippsland - South West,Wonthaggi - Inverloch,23685,728.8,32.5
Yarra Ranges,Yarra Valley,16752,729.8,23
Campaspe,Kyabram,11029,738.9,14.9
Heathcote - Castlemaine - Kyneton,Heathcote,4635,756.8,6.1
Latrobe Valley,Churchill,11590,796.5,14.6
Heathcote - Castlemaine - Kyneton,Bendigo Region - South,7771,796.9,9.8
Gippsland - South West,Leongatha,11359,801,14.2
Creswick - Daylesford - Ballan,Gordon (Vic.),5900,850.3,6.9
Creswick - Daylesford - Ballan,Creswick - Clunes,7998,856.8,9.3
Barwon - West,Winchelsea,5865,903.3,6.5
Creswick - Daylesford - Ballan,Daylesford,9261,920.8,10.1
Maryborough - Pyrenees,Golden Plains - North,4742,922.1,5.1
Wellington,Rosedale,4870,968.5,5
Shepparton,Shepparton Region - West,10388,1028.7,10.1
Creswick - Daylesford - Ballan,Bacchus Marsh Region,6153,1038.8,5.9
Shepparton,Shepparton Region - East,3881,1055.6,3.7
Upper Goulburn Valley,Nagambie,4200,1294.3,3.2
Loddon - Elmore,Bendigo Region - North,4554,1440.2,3.2
Upper Goulburn Valley,Yea,3732,1474.3,2.5
Barwon - West,Golden Plains - South,7240,1484.5,4.9
Moira,Moira,2665,1498.8,1.8
Gippsland - South West,Foster,8995,1498.8,6
Colac - Corangamite,Otway,3579,1505.9,2.4
Heathcote - Castlemaine - Kyneton,Castlemaine Region,8723,1515,5.8
Wellington,Longford - Loch Sport,4403,1610.8,2.7
Maryborough - Pyrenees,Maryborough Region,5364,1627.6,3.3
Campaspe,Rushworth,4054,1633.9,2.5
Campaspe,Lockington - Gunbower,3874,1646.4,2.4
Upper Goulburn Valley,Seymour Region,4511,1688.8,2.7
Maryborough - Pyrenees,Avoca,3352,1714.2,2
Colac - Corangamite,Corangamite - South,7178,1805.2,4
Maryborough - Pyrenees,Beaufort,4450,1863,2.4
Wellington,Yarram,5413,1931.9,2.8
Colac - Corangamite,Colac Region,5363,1934.3,2.8
Warrnambool,Moyne - West,9776,2037.8,4.8
Upper Goulburn Valley,Euroa,6442,2057.9,3.1
Wangaratta - Benalla,Benalla Region,3659,2105.3,1.7
Upper Goulburn Valley,Alexandra,6619,2119,3.1
Moira,Numurkah,12421,2321,5.4
Wellington,Maffra,14197,2532.3,5.6
Colac - Corangamite,Corangamite - North,5354,2538.3,2.1
Grampians,Stawell,8129,2743.4,3
Baw Baw,Mount Baw Baw Region,6147,2753.3,2.2
Grampians,St Arnaud,3288,3008.6,1.1
Warrnambool,Moyne - East,6670,3275.8,2
Murray River - Swan Hill,Gannawarra,6653,3568.2,1.9
Wangaratta - Benalla,Wangaratta Region,9769,3587.5,2.7
Upper Goulburn Valley,Mansfield (Vic.),9253,3927.9,2.4
Grampians,Ararat Region,3222,4023.2,0.8
Grampians,Horsham Region,3417,4251.5,0.8
Wodonga - Alpine,Bright - Mount Beauty,8478,4253.7,2
Grampians,West Wimmera,2716,5685.9,0.5
Murray River - Swan Hill,Swan Hill Region,6289,5759.2,1.1
Glenelg - Southern Grampians,Glenelg (Vic.),8733,6121.2,1.4
Loddon - Elmore,Loddon,7055,6193.3,1.1
Glenelg - Southern Grampians,Southern Grampians,6093,6562.6,0.9
Wodonga - Alpine,Towong,6027,6668.7,0.9
Grampians,Yarriambiack,6610,7139.6,0.9
Gippsland - East,Bruthen - Omeo,8088,7377.4,1.1
Murray River - Swan Hill,Buloke,6187,8068.7,0.8
Grampians,Nhill Region,6797,11042.8,0.6
Gippsland - East,Orbost,6475,11384.3,0.6
,,,,
